titles,category
속도 붙는 제  지대 빅텐트 이준석 양향자 먼저,Politics
 대통령  법무부 장관에 박성재 전 서울고검장 지명,Politics
한동훈  윤에 깊은 존중과 신뢰 마음 가져 변함 전혀 없어 ,Politics
열차 타고 마주앉은  시간  민생 얘기 길게 나눴다,Politics
윤 대통령  같이 갑시다   한동훈  자리 있습니까  함께 서울행,Politics
겉으론  시스템 공천  우려  사퇴 분출  도화선 된  사과 요구 ,Politics
친명  비명 지역구 잇단 출사표   집안싸움 위험 수위,Politics
한국  유엔 인권검증대 선 중국에  탈북민 인권  첫 권고,Politics
 년 만에 간판 바꾼 민주당 새로운 로고 상징 공개,Politics
   여론조사  배 이상 차이 땐 단수추천 공관위  차 회의 결과 발표,Politics
 투자는 타이밍  배우 김지훈   억 천으로   억 트리마제 만든 비결,Economics
롯데정보통신  AI 플랫폼  아이멤버  그룹 전 계열사에 도입,Economics
노량진 구역에   층 공동주택    가구 공급,Economics
 단통법 폐지  SKT 실적에 큰 영향 없어 자회사 실적 개선 전망 ,Economics
비트코인 ETF 승인 후 하락세 지속  만 달러선도 무너져 종합 ,Economics
관세청   짝퉁    만여점 적발   발암물질 검출되기도,Economics
중국 증시 연초 폭락 사태    조원대 부양카드 만지작,Economics
금융위  온투업 규제 개선 비교 추천 서비스 허용,Economics
LIG넥스원  무인수상정 앞세워 UAE 로봇 무인 전문전시회 참가,Economics
 임영웅 아이유 장범준까지  암표와의 전쟁  출근길 인터뷰 ,Economics
 매진된 콘서트표 팝니다  표 안 보내고     만원  꿀꺽    대 결국, Social
여수시  섬 주민 추가 택배비  인당 최대   만원 지원, Social
하늘 바닷길 끊어졌다   폭설 강풍에 꽁꽁언 호남 제주, Social
 안전한 성생활  청소년 선수촌에 제공된 콘돔     개 학부모단체  반발 , Social
룸카페서 미성년자에 성범죄 저지른   대 경찰  구속영장 신청, Social
성북사랑상품권   억원 발행 할인율   , Social
    만달러 대북송금  김성태 쌍방울  회장 보석 석방, Social
한파 대설로 항공    편 결항 수도계량기 동파    건 복구 완료, Social
 출생부터 돌봄 교육 공공이 책임   부산형 통합돌봄  추진, Social
소득 무관   세까지  억원 서울시의회  파격  저출산 대책 종합 , Social
 사흘째 전국이  꽁꽁   서울          서해안 제주 대설 날씨 ,Culture
에너지음료 한달에    회만 마셔도 수면 장애 위험  ,Culture
서울 체감 영하   도 충청   호남   제주에 대설특보,Culture
셀린 송 감독  패스트 라이브즈  최고 권위 아카데미 작품 각본상 후보 올라,Culture
전국 얼린 한파와 제주 호남 충남 대설  하루 더 이어진다,Culture
유인촌 장관  웹툰계  넷플릭스  한국서 나오도록 지원하겠다 ,Culture
 정신과 전문의 상주  하이브  엔터업계 첫 사내의원 설립,Culture
 이틀째 한파  춘천      도   제주 서해안  대설  날씨 ,Culture
  신장서 규모     강진 산악지대로 큰 인명피해 없어,World
러시아 대규모 공습에  우크라 최소   명 사망 ,World
 이 하마스  한 달 휴전과 인질 수감자 교환 원칙적 합의 ,World
 지구종말시계  종말까지   초 핵보유국 전쟁 개입 우려 커 ,World
 북  통일 기념탑 철거한 듯  백악관은  현재 한반도 방위태세 적절 ,World
이스라엘군 지상전 최악의 날 하루 새   명 사망 종합 ,World
  연합  후티 두번째 타격   홍해 자유무역 보호 ,World
MS 빙 엣지 등 EU 디지털규제 제외 가능성  글로벌 비즈 ,World
첫 예비선거 D   트럼프 굳히기  바이든은 ,World
 벌레GPT 등 악성 AI  올 사이버 보안 최대 위협 ,IT
 러닝 초보용 운동화 알려줘  네이버  질문에 답하는 생성형 AI 광고 선보인다,IT
과기정통부  전국민 AI 일상화 릴레이 소통  스타트  박윤규 차관 AI반도체 현장 방문,IT
KT  버스 도착시각  경로당에서 지니TV로 확인하세요 ,IT
SKT  갤럭시 S   예약  전작 상회  T팩토리 방문     증가,IT
KAIST 이브자리  슬립테크 진출 위해 손 잡았다,IT
 국가신문출판서  온라인 게임 BM 제한 초안 돌연 삭제    규제안 철회 가능성,IT
월    만건 고객 목소리  LGU  전 직원이 확인 업무에 적용,IT
